_id,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,_fp,latitude,longitude,has_free_parking,free_daytime,free_halfday,free_time_ranges,has_short_term_parking,is_very_visitor_friendly,has_height_restriction,has_big_vehicle_restrictions
90,A68,BLK 620/624/626 ANG MO KIO STREET 61,28727.3335,40428.7342,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,c85427b72654e8caea88ab28116e1b29756352ac96e883ce7f2b36ae79a78ec6,1.3818976185660183,103.83985421482706,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
91,A69,BLK 623/625/627 ANG MO KIO STREET 61,28960.06,40400.41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,2b28d0f309c7f5915ac5b40440fbeef569c11d818e5048d39ada5fea5c8bfe55,1.3816414579421723,103.84194543574868,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
92,A7,BLK 212/213 ANG MO KIO STREET 23,28888.4313,38935.4059,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,7f81c9bae558767c78510c2961cb4b6a3fb78e9ae4fc076c83dbc08c66160bc4,1.3683924870216928,103.84130175438848,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
93,A70,BLK 629/626 ANG MO KIO AVENUE 4,28755.4887,40287.5326,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,571a6bb31886227b110f834fc284ef0796dc7231f495a45ed5b016ca89615bff,1.38062064114195,103.84010720676336,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
94,A71,BLK 628/632 ANG MO KIO STREET 61,28826.1219,40219.911,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,cc8a7e5531a9830943419359722bd1223c88354a3b3afd4b35b205a25761742d,1.3800090936953147,103.84074189671752,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
95,A72,BLK 633/640 ANG MO KIO STREET 61,29136.44,40303.05,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,e7350c0751ec1587970c0140df93fba56950740fb425bf833037d96a7ae94113,1.3807609626573387,103.84353033817357,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
96,A73,BLK 641/645 ANG MO KIO STREET 61,28835.3369,40091.5441,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,26f493c98f0a604dfa5658eb132bd80598199818962c0978a1f599e731f7b9de,1.378848189137787,103.84082469669583,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
97,A74,BLK 646/649 ANG MO KIO STREET 61,29166.97,40069.8164,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,e32914bdd45a957b9a803b1121f9d19b03bc32122bbc2a0050b8a0211c4b7834,1.378651680283736,103.84380466372642,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
98,A75,BLK 177/182 ANG MO KIO AVENUE 4,28597.1669,39798.961,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,6ea0a07bbb9412e96d89984ffec475ce4820fe242050a274f4bb9987ac2369ac,1.3762021780623381,103.83868455774677,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
99,A76,BLK 613A ANG MO KIO AVENUE 4,28613.8871,39995.2242,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,1,9,2.0,0,96b7f3964fc63cd19a40d2963b3b2c565bdc6504116eea49890a01bf144e85ba,1.377977111891701,103.8388348049752,0,0,0,,1,0,1,1
